instance,depth,alpha,seed,train_acc,val_acc,test_acc,train_time,gap
balance-scale,2,0.0,37,0.7467948717948718,0.6346153846153846,0.7070063694267515,65.80439186096191,0.0
balance-scale,2,0.01,37,0.7467948717948718,0.6346153846153846,0.7070063694267515,217.5222771167755,0.0
balance-scale,2,0.1,37,0.717948717948718,0.6858974358974359,0.6496815286624203,214.6397349834442,0.0
balance-scale,2,0.0,42,0.7403846153846154,0.7051282051282052,0.6815286624203821,88.24358606338501,0.0
balance-scale,2,0.01,42,0.7403846153846154,0.7051282051282052,0.6815286624203821,134.62819910049438,0.0
balance-scale,2,0.1,42,0.7115384615384616,0.6794871794871795,0.6687898089171974,238.39834117889404,0.0
balance-scale,2,0.0,53,0.7435897435897436,0.6025641025641025,0.6496815286624203,125.7038221359253,0.0
balance-scale,2,0.01,53,0.7435897435897436,0.6858974358974359,0.6942675159235668,178.39324593544006,0.0
balance-scale,2,0.1,53,0.7115384615384616,0.6602564102564102,0.6560509554140127,134.3873369693756,0.0
balance-scale,3,0.0,37,0.7756410256410257,0.6474358974358975,0.6942675159235668,600.7578086853027,1.0
balance-scale,3,0.01,37,0.7948717948717948,0.7564102564102564,0.7133757961783439,600.8742532730103,0.9368188735670436
balance-scale,3,0.1,37,0.717948717948718,0.6346153846153846,0.6687898089171974,600.6959371566772,0.5998307952622602
balance-scale,3,0.0,42,0.7916666666666666,0.7051282051282052,0.7070063694267515,411.15841484069824,1.0
CTG_width,4,0.0,37,0.92,0.8450704225352113,0.8544600938967136,1806.564898967743,1.0
CTG_width,4,0.01,37,0.9176470588235294,0.8356807511737089,0.8544600938967136,498.68106174468994,0.9361702127659574
CTG_width,4,0.0,37,0.7247058823529412,0.6197183098591549,0.6854460093896714,70.08284592628479,1.0
CTG_width,4,0.0,37,0.9058823529411764,0.8215962441314554,0.8215962441314554,1230.592742919922,1.0
CTG_width,4,0.001,37,0.3623529411764706,0.352112676056338,0.3051643192488263,8.65972375869751,1.0
